name,type,description
2_year_flow,continuous,Two year flow rate in m^3/s
frac_snow,categorical,frac_snow
high_q_freq,categorical,high_q_freq
dom_land_cover,categorical,dom_land_cover
q5,categorical,q5
p_seasonality,categorical,p_seasonality
baseflow_index,categorical,baseflow_index
zero_q_freq,categorical,zero_q_freq
NID_dam_lengths,categorical,NID_dam_lengths
slope_mean,categorical,slope_mean
q95,categorical,q95
soil_porosity,categorical,soil_porosity
runoff_ratio,categorical,runoff_ratio
p_mean,categorical,p_mean
slope_fdc,categorical,slope_fdc
dom_land_cover_frac,categorical,dom_land_cover_frac
high_prec_freq,categorical,high_prec_freq
ecoregion_L2,categorical,ecoregion_L2
frac_urban,categorical,frac_urban
pet_mean,categorical,pet_mean
river_forecast_center,categorical,river_forecast_center
forest_frac,categorical,forest_frac
drainage_area,categorical,drainage_area
q_mean,categorical,q_mean
aridity,categorical,aridity
elev_mean,categorical,elev_mean
stream_order,categorical,stream_order
